date,game_id,season,neutral,playoff,home,away,elo1_pre_home,elo2_pre_away,home_score,away_score
17-11-2021,223,2022,0,,PHO,DAL,1658.908401,1551.709159,105,98
18-11-2021,224,2022,0,,MIA,WAS,1588.446985,1540.86127,112,97
18-11-2021,225,2022,0,,CLE,GSW,1446.549627,1613.788879,89,104
18-11-2021,226,2022,0,,MIN,SAS,1428.884834,1455.411696,115,90
18-11-2021,227,2022,0,,MEM,LAC,1484.900993,1605.707121,120,108
18-11-2021,228,2022,0,,DEN,PHI,1594.165502,1575.937906,89,103
18-11-2021,229,2022,0,,UTA,TOR,1626.255336,1474.066009,119,103
19-11-2021,230,2022,0,,DET,GSW,1355.417039,1624.122922,102,105
19-11-2021,231,2022,0,,CHO,IND,1485.139334,1495.83936,121,118
19-11-2021,232,2022,0,,BRK,ORL,1590.472018,1332.340047,115,113
19-11-2021,233,2022,0,,BOS,LAL,1509.568136,1468.268587,130,108
19-11-2021,234,2022,0,,MIL,OKC,1587.724008,1330.020473,96,89
19-11-2021,235,2022,0,,NOP,LAC,1400.66313,1593.166162,94,81
19-11-2021,236,2022,0,,DEN,CHI,1575.304726,1569.986608,108,114
19-11-2021,237,2022,0,,PHO,DAL,1662.267998,1548.349562,112,104
19-11-2021,238,2022,0,,SAC,TOR,1461.994709,1469.626759,89,108
20-11-2021,239,2022,0,,NYK,HOU,1513.838389,1284.91531,106,99
20-11-2021,240,2022,0,,IND,NOP,1491.933858,1417.337113,111,94
20-11-2021,241,2022,0,,WAS,MIA,1533.647737,1595.660519,103,100
20-11-2021,242,2022,0,,BOS,OKC,1519.232833,1328.540441,111,105
20-11-2021,243,2022,0,,ATL,CHO,1546.237356,1489.044836,115,105
20-11-2021,244,2022,0,,MIL,ORL,1589.204041,1331.492075,117,108
20-11-2021,245,2022,0,,MIN,MEM,1443.219222,1497.441953,138,95
20-11-2021,246,2022,0,,SAC,UTA,1440.491372,1630.694585,105,123
20-11-2021,247,2022,0,,POR,PHI,1570.135748,1594.798681,118,111
21-11-2021,248,2022,0,,LAC,DAL,1576.492179,1544.846419,97,91
21-11-2021,249,2022,0,,DET,LAL,1352.711279,1458.603891,116,121
21-11-2021,250,2022,0,,CHI,NYK,1580.91486,1515.581412,109,103
21-11-2021,251,2022,0,,PHO,DEN,1665.771141,1564.376474,126,97
21-11-2021,252,2022,0,,GSW,TOR,1626.828683,1491.130097,119,104
22-11-2021,253,2022,0,,CLE,BRK,1436.215583,1591.31999,112,117
22-11-2021,254,2022,0,,WAS,CHO,1538.482592,1483.734182,103,109
22-11-2021,255,2022,0,,ATL,OKC,1551.54801,1326.558229,113,101
22-11-2021,256,2022,0,,BOS,HOU,1521.215044,1283.172287,108,90
22-11-2021,257,2022,0,,NOP,MIN,1410.449623,1467.127277,96,110
22-11-2021,258,2022,0,,CHI,IND,1584.719339,1498.821348,77,109
22-11-2021,259,2022,0,,MIL,ORL,1590.916401,1329.779714,123,92
22-11-2021,260,2022,0,,SAS,PHO,1441.077308,1674.545808,111,115
22-11-2021,261,2022,0,,UTA,MEM,1641.29259,1473.533898,118,119
22-11-2021,262,2022,0,,SAC,PHI,1429.893366,1588.55817,94,102
23-11-2021,263,2022,0,,DET,MIA,1345.825707,1590.825663,92,100
23-11-2021,264,2022,0,,NYK,LAL,1511.776934,1465.489463,106,100
23-11-2021,265,2022,0,,POR,DEN,1576.376259,1555.601807,119,100
23-11-2021,266,2022,0,,LAC,DAL,1580.957282,1540.381316,104,112
24-11-2021,267,2022,0,,CLE,PHO,1430.535491,1678.166866,115,120
24-11-2021,268,2022,0,,ORL,CHO,1325.916866,1496.249428,99,106
24-11-2021,269,2022,0,,IND,LAL,1538.915764,1461.320782,116,124
24-11-2021,270,2022,0,,BOS,BRK,1524.212096,1597.000082,104,123
24-11-2021,271,2022,0,,MIN,MIA,1482.103491,1595.750213,113,101
24-11-2021,272,2022,0,,NOP,WAS,1395.473408,1525.967347,127,102
24-11-2021,273,2022,0,,HOU,CHI,1280.175235,1544.624923,118,113
24-11-2021,274,2022,0,,MEM,TOR,1482.007274,1486.491182,113,126
24-11-2021,275,2022,0,,MIL,DET,1594.77925,1340.901157,114,93
24-11-2021,276,2022,0,,OKC,UTA,1324.093365,1632.819215,104,110
24-11-2021,277,2022,0,,SAS,ATL,1437.456249,1554.012875,106,124
24-11-2021,278,2022,0,,SAC,POR,1422.671629,1585.973034,125,121
24-11-2021,279,2022,0,,GSW,PHI,1631.467598,1595.779907,116,96
26-11-2021,280,2022,0,,LAC,DET,1566.800458,1337.853642,107,96
26-11-2021,281,2022,0,,CHO,MIN,1502.623416,1494.330005,133,115
26-11-2021,282,2022,0,,NYK,PHO,1515.945614,1681.936576,97,118
26-11-2021,283,2022,0,,ORL,CHI,1319.542877,1532.948791,88,123
26-11-2021,284,2022,0,,IND,TOR,1523.349948,1503.315704,114,97
26-11-2021,285,2022,0,,OKC,WAS,1321.029318,1504.595698,99,101
26-11-2021,286,2022,0,,MEM,ATL,1465.182752,1568.328518,100,132
26-11-2021,287,2022,0,,SAS,BOS,1423.140606,1506.789212,96,88
26-11-2021,288,2022,0,,UTA,NOP,1635.883261,1416.845057,97,98
26-11-2021,289,2022,0,,DEN,MIL,1546.005032,1597.826765,109,120
26-11-2021,290,2022,0,,GSW,POR,1640.749683,1578.110823,118,103
26-11-2021,291,2022,0,,LAL,SAC,1476.886598,1430.533841,137,141
27-11-2021,292,2022,0,,PHI,MIN,1586.497823,1484.546368,120,121
27-11-2021,293,2022,0,,BRK,PHO,1614.422966,1695.012999,107,113
27-11-2021,294,2022,0,,ATL,NYK,1590.982867,1502.869191,90,99
27-11-2021,295,2022,0,,CHI,MIA,1548.314661,1583.523699,104,107
27-11-2021,296,2022,0,,CLE,ORL,1426.765781,1304.177007,105,92
27-11-2021,297,2022,0,,HOU,CHO,1291.851367,1512.407054,146,143
27-11-2021,298,2022,0,,DAL,WAS,1554.53814,1508.055961,114,120
27-11-2021,299,2022,0,,UTA,NOP,1626.521165,1426.207153,127,105
28-11-2021,300,2022,0,,LAC,GSW,1569.081574,1647.460823,90,105
28-11-2021,301,2022,0,,IND,MIL,1532.272302,1610.857586,100,118
28-11-2021,302,2022,0,,MEM,SAC,1442.528403,1440.54756,128,101
28-11-2021,303,2022,0,,TOR,BOS,1494.39335,1498.248607,97,109
28-11-2021,304,2022,0,,LAL,DET,1466.872879,1335.572526,110,106
29-11-2021,305,2022,0,,PHI,ORL,1579.152999,1299.656337,101,96
29-11-2021,306,2022,0,,MIA,DEN,1590.506913,1532.974211,111,120
29-11-2021,307,2022,0,,CHI,CHO,1541.331447,1504.154975,133,119
29-11-2021,308,2022,0,,HOU,OKC,1300.103446,1317.569055,102,89
29-11-2021,309,2022,0,,MIN,IND,1491.891192,1515.822418,100,98
29-11-2021,310,2022,0,,SAS,WAS,1431.681211,1520.303795,116,99
29-11-2021,311,2022,0,,DAL,CLE,1542.290306,1431.286451,96,114
29-11-2021,312,2022,0,,UTA,POR,1630.777763,1571.399682,129,107
